date,dxy
2003-07-16,93.7679
2003-07-17,94.2665
2003-07-18,94.2707
2003-07-21,93.6971
2003-07-22,94.0553
2003-07-23,93.125
2003-07-24,93.2558
2003-07-25,92.6115
2003-07-28,92.7383
2003-07-29,92.9729
2003-07-30,93.7732
2003-07-31,94.3994
2003-08-01,94.0377
2003-08-04,94.03
2003-08-05,93.8768
2003-08-06,93.9313
2003-08-07,93.2979
2003-08-08,93.5839
2003-08-11,93.2133
2003-08-12,93.4321
2003-08-13,93.4115
2003-08-14,93.8864
2003-08-15,93.7767
2003-08-18,94.3316
2003-08-19,94.5826
2003-08-20,94.4516
2003-08-21,94.9125
2003-08-22,95.4054
2003-08-25,95.0868
2003-08-26,95.0009
2003-08-27,95.1835
2003-08-28,95.0598
2003-08-29,94.3449
2003-09-01,94.3449
2003-09-02,94.7353
2003-09-03,94.6733
2003-09-04,94.4216
2003-09-05,93.7534
2003-09-08,93.4998
2003-09-09,93.1364
2003-09-10,93.2427
2003-09-11,93.3212
2003-09-12,92.7429
2003-09-15,92.85
2003-09-16,93.2641
2003-09-17,92.823
2003-09-22,90.7989
2003-09-23,90.8065
2003-09-24,90.8146
2003-09-25,90.6419
2003-09-26,90.799
2003-09-29,90.3649
2003-09-30,90.1281
2003-10-01,89.7452
2003-10-02,89.4692
2003-10-03,90.0308
2003-10-06,89.5941
2003-10-07,89.0153
2003-10-08,89.0033
2003-10-09,89.4398
2003-10-10,88.5624
2003-10-13,88.5624
2003-10-14,88.9369
2003-10-15,89.2281
2003-10-16,88.9649
2003-10-17,89.0912
2003-10-20,89.1818
2003-10-21,88.9783
2003-10-22,88.1244
2003-10-23,88.3636
2003-10-24,88.1533
2003-10-27,88.3043
2003-10-28,88.5101
2003-10-29,88.4867
2003-10-30,88.3541
2003-10-31,89.1992
2003-11-03,90.22
2003-11-04,89.8146
2003-11-05,89.9104
2003-11-06,90.271
2003-11-07,89.592
2003-11-10,89.0617
2003-11-11,89.0617
2003-11-12,88.5231
2003-11-13,88.2282
2003-11-14,88.2331
2003-11-17,88.5246
2003-11-18,87.6253
2003-11-19,87.7613
2003-11-20,87.7456
2003-11-21,87.6924
2003-11-24,88.5971
2003-11-25,88.4273
2003-11-26,87.7053
2003-11-27,87.7053
2003-11-28,87.3502
2003-12-01,87.5711
2003-12-02,86.9634
2003-12-03,86.8662
2003-12-04,87.1935
2003-12-05,86.6901
2003-12-08,86.2323
2003-12-09,86.4174
2003-12-10,86.5951
2003-12-11,87.1185
2003-12-12,86.4347
2003-12-15,86.3646
2003-12-16,86.3555
2003-12-17,86.2688
2003-12-18,86.4428
2003-12-19,86.6507
2003-12-22,86.3383
2003-12-23,86.2104
2003-12-24,85.6972
2003-12-25,85.6972
2003-12-29,85.5996
2003-12-30,85.333
2003-12-31,84.8883
2004-01-01,84.8883
2004-01-02,84.7871
2004-01-05,84.1425
2004-01-06,83.899
2004-01-07,84.3205
2004-01-08,83.7742
2004-01-09,83.3615
2004-01-12,83.5554
2004-01-13,83.7147
2004-01-14,84.0025
2004-01-15,84.7224
2004-01-16,85.4289
2004-01-19,85.4289
2004-01-20,84.6501
2004-01-21,84.7595
2004-01-22,84.2166
2004-01-23,84.9292
2004-01-26,85.1042
2004-01-27,84.5574
2004-01-28,84.9159
2004-01-29,86.0203
2004-01-30,85.626
2004-02-02,85.9172
2004-02-03,85.3925
2004-02-04,85.3828
2004-02-05,85.1908
2004-02-06,84.8669
2004-02-09,84.8889
2004-02-10,84.6374
2004-02-11,84.1023
2004-02-12,84.1213
2004-02-13,84.249
2004-02-16,84.249
2004-02-17,83.8523
2004-02-18,84.1955
2004-02-19,84.8701
2004-02-20,85.9198
2004-02-23,85.6484
2004-02-24,85.0432
2004-02-25,85.9316
2004-02-26,86.3716
2004-02-27,86.2937
2004-03-01,86.2083
2004-03-02,87.2586
2004-03-03,87.8057
2004-03-04,87.1273
2004-03-05,86.3746
2004-03-08,86.6421
2004-03-09,86.2621
2004-03-10,87.1762
2004-03-11,86.9671
2004-03-12,87.5376
2004-03-15,87.1789
2004-03-16,86.8398
2004-03-17,87.0819
2004-03-18,85.9098
2004-03-19,86.3887
2004-03-22,85.9159
2004-03-23,86.1185
2004-03-24,86.5359
2004-03-25,86.5977
2004-03-26,86.5736
2004-03-29,86.146
2004-03-30,85.8906
2004-03-31,85.3923
2004-04-01,85.0528
2004-04-02,86.0861
2004-04-05,86.5926
2004-04-06,86.2108
2004-04-07,85.8933
2004-04-08,86.5716
2004-04-09,86.6505
2004-04-12,86.7384
2004-04-13,87.468
2004-04-14,87.9989
2004-04-15,88.2067
2004-04-16,87.554
2004-04-19,87.7178
2004-04-20,88.2411
2004-04-21,88.7868
2004-04-22,88.8297
2004-04-23,88.9846
2004-04-26,88.4988
2004-04-27,88.2927
2004-04-28,89.0698
2004-04-29,88.796
2004-04-30,88.815
2004-05-03,88.9882
2004-05-04,88.3493
2004-05-05,87.8848
2004-05-06,88.3965
2004-05-07,89.6466
2004-05-10,90.3073
2004-05-11,90.2365
2004-05-12,89.8063
2004-05-13,90.5785
2004-05-14,90.2985
2004-05-17,89.6571
2004-05-18,89.8724
2004-05-19,89.1643
2004-05-20,89.4181
2004-05-21,88.9735
2004-05-24,89.074
2004-05-25,88.6535
2004-05-26,88.4707
2004-05-27,87.4507
2004-05-28,87.7243
2004-05-31,87.7243
2004-06-01,87.825
2004-06-02,87.5738
2004-06-03,87.8446
2004-06-04,87.4951
2004-06-07,86.9202
2004-06-08,87.1165
2004-06-09,87.804
2004-06-10,87.7029
2004-06-14,88.4554
2004-06-15,87.9823
2004-06-16,88.6297
2004-06-17,88.3745
2004-06-18,87.7525
2004-06-21,87.7788
2004-06-22,87.8643
2004-06-23,87.8766
2004-06-24,86.9899
2004-06-25,87.2985
2004-06-28,87.0423
2004-06-29,87.4535
2004-06-30,87.3441
2004-07-01,87.0154
2004-07-02,86.4289
2004-07-05,86.4289
2004-07-06,86.5258
2004-07-07,85.9264
2004-07-08,85.9061
2004-07-09,85.9238
2004-07-12,85.7864
2004-07-13,86.4557
2004-07-14,86.1101
2004-07-15,86.2389
2004-07-16,85.5677
2004-07-19,85.4764
2004-07-20,85.7608
2004-07-21,86.8585
2004-07-22,86.386
2004-07-23,87.1176
2004-07-26,87.2574
2004-07-27,87.8044
2004-07-28,87.8559
2004-07-29,87.7245
2004-07-30,87.8202
2004-08-02,87.7569
2004-08-03,87.3878
2004-08-04,87.4002
2004-08-05,87.5147
2004-08-06,86.3842
2004-08-09,86.6443
2004-08-10,86.5186
2004-08-11,87.0051
2004-08-12,87.25
2004-08-13,86.2455
2004-08-16,86.2834
2004-08-17,86.274
2004-08-18,86.3164
2004-08-19,85.7811
2004-08-20,85.9761
2004-08-23,86.5692
2004-08-24,86.9442
2004-08-25,87.0674
2004-08-26,87.1629
2004-08-27,87.2582
2004-08-30,87.3898
2004-08-31,86.8051
2004-09-01,86.758
2004-09-02,86.6618
2004-09-03,87.2184
2004-09-06,87.2184
2004-09-07,86.6846
2004-09-08,86.4396
2004-09-09,86.4288
2004-09-10,86.0454
2004-09-13,86.5083
2004-09-14,86.1528
2004-09-15,86.9028
2004-09-16,86.5644
2004-09-17,86.7196
2004-09-20,86.5971
2004-09-21,86.1941
2004-09-22,86.1282
2004-09-23,85.8927
2004-09-24,86.0108
2004-09-27,85.864
2004-09-28,85.9368
2004-09-29,85.8584
2004-09-30,85.2055
2004-10-01,85.295
2004-10-04,86.0238
2004-10-05,85.6994
2004-10-06,85.7123
2004-10-07,85.6641
2004-10-08,84.8527
2004-10-11,84.8527
2004-10-12,85.3328
2004-10-13,85.6075
2004-10-14,84.9649
2004-10-15,84.6143
2004-10-18,84.6059
2004-10-19,84.4583
2004-10-20,83.8193
2004-10-21,83.6631
