date,xlk_vs_spy,xly_vs_spy,xlu_vs_spy
2023-02-07,34.572123606059876,36.484501071798455,16.488836436330352
2023-02-08,34.53305734810666,36.57372458297821,16.391087300620967
2023-02-09,34.6434449384657,36.82478076101108,16.308433024638287
2023-02-10,34.40348985393589,36.307714929908826,16.59396137633565
2023-02-13,34.592931715233874,36.412082455247926,16.50073880289708
2023-02-14,34.756688639007365,36.86506397828616,16.43805738658395
2023-02-15,34.806029276776655,37.1757089714479,16.49113483743176
2023-02-16,34.67963162535515,36.87175467816204,16.59400411482316
2023-02-17,34.3318764425674,36.97146785837057,16.814811177135
2023-02-21,34.20281139592573,36.46796461950939,16.838307148763437
2023-02-22,34.199829377226884,36.70396948863351,16.796306518793592
2023-02-23,34.58293815204912,36.47980831627814,16.620076873159288
2023-02-24,34.33321560119077,36.2934557747616,16.804581462233212
2023-02-27,34.400221255625674,36.61780604932994,16.634400221255625
2023-02-28,34.45212739110685,36.72841063947913,16.403371523747033
2023-03-01,34.33145868166388,36.40624208339667,16.19547043623651
2023-03-02,34.48631256127297,36.00462532364696,16.37465121540434
2023-03-03,34.671812761325114,36.19832257106806,16.390806303965956
2023-03-06,34.81345958909189,35.90872005340322,16.45857541968502
2023-03-07,34.91601175082231,35.97057272704446,16.44110779119693
2023-03-08,35.14739797453124,35.846786323072294,16.53965707410007
2023-03-09,35.294718561650825,35.649708856880174,16.715190519971397
2023-03-10,35.18177813479827,35.81145863025057,16.693011323883805
2023-03-13,35.424019099024285,35.93782437201578,16.973738841602657
2023-03-14,35.652107318816526,35.95333520537105,16.91726444234549
2023-03-15,35.897040690505555,36.12566789971229,17.254932182490755
2023-03-16,36.267703415717854,36.144000403928196,17.071015626972304
2023-03-17,36.78555860406677,36.24195492192108,17.172235185517575
2023-03-20,36.45298928226748,35.942500126987355,17.01630517600447
2023-03-21,36.27133939986463,36.456844902358924,16.457346268581887
2023-03-22,36.53311570732703,36.26278340261661,16.413761444492618
2023-03-23,37.027240125136714,36.1268662410662,16.201643055166976
2023-03-24,36.88186986734049,35.77511054958939,16.59886291850916
2023-03-27,36.52803349390906,35.78148250901662,16.58806022850513
2023-03-28,36.43832153690597,35.819009100101106,16.67087967644085
2023-03-29,36.668742992400645,35.97608072754453,16.671234583281425
2023-03-30,36.878870448352735,36.07877136487491,16.64602427545207
2023-03-31,36.886587361684455,36.52751654901195,16.53435599306285
2023-04-03,36.68816157683417,36.05548120209271,16.35965445917995
