date,close,volume,volume_ma20
2023-04-21,412.2,73457422.0,73744305.35
2023-04-24,412.63,64332095.0,71572403.9
2023-04-25,406.08,97766721.0,72760219.55
2023-04-26,404.36,80447049.0,73638988.0
2023-04-27,412.41,92968369.0,74412512.65
2023-04-28,415.93,89433137.0,75392167.05
2023-05-01,415.51,62122254.0,72895148.55
2023-05-02,410.84,103998484.0,74725517.9
2023-05-03,408.02,91531769.0,75972029.65
2023-05-04,405.13,94901863.0,77457110.65
2023-05-05,412.63,87891791.0,78664532.95
2023-05-08,412.74,50046768.0,77982819.25
2023-05-09,410.93,49220119.0,77478927.95
2023-05-10,412.85,96142922.0,77965055.1
2023-05-11,412.13,70157064.0,77182170.6
2023-05-12,411.59,70481548.0,76798173.0
2023-05-15,413.01,54289383.0,76190822.2
2023-05-16,410.25,57705495.0,75898097.1
2023-05-17,415.23,87286957.0,77501078.45
2023-05-18,419.23,97177195.0,78567920.25
2023-05-19,418.62,103793317.0,80084715.0
2023-05-22,418.79,60745399.0,79905380.2
2023-05-23,414.09,86383493.0,79336218.8
2023-05-24,411.09,89213678.0,79774550.25
2023-05-25,414.65,90961606.0,79674212.1
2023-05-26,420.02,93829975.0,79894054.0
2023-05-30,420.18,72215960.0,80398739.3
2023-05-31,417.85,110811780.0,80739404.1
2023-06-01,421.82,88865018.0,80606066.55
2023-06-02,427.92,91426171.0,80432281.95
2023-06-05,427.1,65460158.0,79310700.3
2023-06-06,428.03,64022175.0,80009470.65
2023-06-07,426.55,85373275.0,81817128.45
2023-06-08,429.13,61952842.0,80107624.45
2023-06-09,429.9,85647268.0,80882134.65
2023-06-12,433.8,76256703.0,81170892.4
2023-06-13,436.66,95899704.0,83251408.45
2023-06-14,437.18,100612080.0,85396737.7
2023-06-15,442.6,110303091.0,86547544.4
2023-06-16,439.46,114165849.0,87396977.1
2023-06-20,437.18,76160359.0,86015329.2
2023-06-21,434.94,76982251.0,86827171.8
2023-06-22,436.51,70637175.0,86039855.9
2023-06-23,433.21,92074537.0,86182898.85
