date,signal_raw,signal_smoothed,position,p_down,p_flat,p_up,pred_label,true_label
2024-01-08,-0.04175227418822969,-0.014506885787381418,0.5,0.3580632328351606,0.3256258085179084,0.31631095864693093,0,1
2024-01-09,-0.05259892965373697,-0.01036136936689187,0.0,0.3516636171907134,0.3492716952723099,0.2990646875369764,0,1
2024-01-10,-0.007888804673702787,-0.01646268740762823,0.0,0.32666718889671226,0.354554426880278,0.31877838422300947,1,1
2024-01-11,-0.013191230810733312,-0.02905040038492144,0.0,0.3337195733154769,0.34575208417977926,0.3205283425047436,1,2
2024-01-12,-0.0464305375096003,-0.03237235536720061,0.0,0.35364395051309483,0.33914263648341053,0.30721341300349453,0,2
2024-01-16,-0.03416182264081569,-0.030854265057717812,0.0,0.3550869351156301,0.3239879524095553,0.3209251124748144,0,2
2024-01-17,0.05599919520323765,-0.009134640086322888,0.0,0.3207465301799441,0.3025077444368738,0.37674572538318174,2,2
2024-01-18,0.0032360093107769994,-0.00690967728942693,0.0,0.3522911749638757,0.2921816407614715,0.3555271842746527,2,2
2024-01-19,-0.011614303332281972,-0.006594291793736662,0.0,0.34453687674415956,0.32254054984396263,0.3329225734118776,0,2
2024-01-22,-0.02937913115180857,-0.0031840105221783155,0.0,0.35762837190945745,0.3141223873328937,0.3282492407576489,0,2
2024-01-23,-0.036214413709003246,-0.003594528735815827,0.0,0.33270216949752174,0.3708100747139593,0.2964877557885185,1,1
2024-01-24,-0.06274870235355756,-0.02734410824717487,0.0,0.3544781860957937,0.3537923301619701,0.2917294837422361,0,0
2024-01-25,-0.138601767273291,-0.05571166356398847,0.0,0.398916902838846,0.34076796159559886,0.260315135565555,0,0
2024-01-26,-0.1333189359048655,-0.08005259007850517,0.0,0.3976985669879177,0.3379218019290302,0.26437963108305224,0,2
2024-01-29,-0.16275156190743023,-0.10672707622962951,0.0,0.41842220696945776,0.3259071479685145,0.2556706450620275,0,1
2024-01-30,-0.18146043970417047,-0.13577628142866294,0.0,0.4411624706767684,0.2991354983506337,0.2597020309725979,0,1
2024-01-31,0.06754186535941487,-0.10971816788606845,0.0,0.32434879469455846,0.2837605452514689,0.3918906600539733,2,2
2024-02-01,0.09170477054343523,-0.06365686032272322,0.0,0.2959178402853798,0.3164595488858053,0.38762261082881505,2,2
2024-02-02,-0.029952723892014144,-0.04298361792015295,0.0,0.3499805668962664,0.3299915900994811,0.32002784300425224,0,2
2024-02-05,-0.10404292449521885,-0.031241890437710675,0.0,0.38490435209047935,0.33423422031425976,0.2808614275952605,0,2
2024-02-06,-0.10819073082688252,-0.016587948662253084,0.0,0.38530829649486514,0.3375741378371517,0.2771175656679826,0,1
2024-02-07,-0.0732355713195344,-0.04474343599804294,0.0,0.3655143713359161,0.342206828647702,0.2922788000163817,0,1
2024-02-08,-0.10537176676991511,-0.084158743460713,0.0,0.3836670604727028,0.3380376458245092,0.2782952937027877,0,1
2024-02-09,-0.11833690700970828,-0.10183558008425182,0.0,0.3924161125704889,0.3335046818687309,0.27407920556078064,0,0
2024-02-12,-0.058655671050613645,-0.09275812939533079,0.0,0.3810938573088266,0.29646795643296053,0.32243818625821297,0,0
2024-02-13,0.11834844375537645,-0.047450294478878996,0.0,0.3383862468109384,0.20487906262274727,0.4567346905663148,2,1
2024-02-14,0.015886082090878495,-0.02962596379679642,0.0,0.3399299511888691,0.30425401553138365,0.3558160332797476,2,2
2024-02-15,-0.04994815391911267,-0.01854124122663593,0.0,0.3776188722847194,0.29471040934967385,0.32767071836560674,0,1
